country,institution,type,contacts,contacts_with_email,sources,name_variants
Canada,Canada-United Kingdom Inter-Parliamentary Association,Other,1,1,csv,
Canada,Canada-Germany Interparliamentary Group,Other,1,1,csv,
Canada,Elections Quebec,Other,1,1,db,
Canada,Élections Québec,Other,1,1,db,
Canada,Election Commission,EMB,1,1,db,
Canada,Neuvote Systems Inc.,Other,1,1,db,
Canada,University of Ottawa,Other,1,1,db,
Canada,Vi,Other,1,1,db,
Canada,Élections Montréal,Other,1,1,db,
Canada,EISA,Other,1,1,db,
Chad,Chadian National Commission,Other,2,2,"csv,db",
Chad,Chad National Independent Electoral Commission,EMB,2,2,csv,
Chad,United Nations Development Programme,Other,1,1,csv,
Chad,PARLIAMENTARY CHAMBER,Other,1,1,db,
Chad,International Helping For The Young,Other,1,1,db,
Colombia,Independent,Other,1,1,db,
Congo,National Commission of the Democratic Republic of Congo,Other,1,1,"csv,db",
Cook Islands,Cook Islands Electoral Office,EMB,1,1,db,
Côte d'Ivoire,Independent Electoral Commission,EMB,3,3,csv,
Côte d'Ivoire,Electoral Institute for Sustainable Democracy in Africa (EISA),Other,1,1,"csv,db",
Côte d'Ivoire,EISA,Other,1,1,db,
Croatia,Ministry of Justice,Other,2,2,csv,
Croatia,Ministry of Foreign Affairs,Other,2,2,csv,
Croatia,State Electoral Commission of the Republic of Croatia,EMB,1,1,"csv,db",
Croatia,Central Election Commission,EMB,1,1,"csv,db",
Croatia,Election Commission,EMB,1,1,"csv,db",
Cyprus,European Commission Representation,Other,4,4,db,
Cyprus,Cyprus Transparency Association,Other,3,3,"csv,db",
Cyprus,Central Election Commission,EMB,2,2,db,
Cyprus,Ministry of the Interior,Other,1,1,"csv,db",
Czech Republic,Central Commision for Election,Other,2,2,"csv,db",
Czech Republic,The Ministry of Interior,Other,1,1,"csv,db",
Czech Republic,Supreme Administrative Court,Other,1,1,csv,
Czech Republic,Ministry of Foreign Affairs,Other,1,1,csv,
Democratic Republic of the Congo,Independant National Electoral Commission,EMB,3,3,csv,
Democratic Republic of the Congo,Independent Electoral Commission,EMB,1,1,csv,
Democratic Republic of the Congo,Independent National Electoral Commission (CENI),EMB,1,1,csv,
Democratic Republic of the Congo,UNDP,Other,1,1,csv,
Democratic Republic of the Congo,Electoral Institute for Sustainable Democracy in Africa,Other,1,1,csv,
Denmark,OSCE,Other,2,2,csv,
Denmark,Paliamentary Assembly,Other,2,2,"csv,db",
Denmark,Election Commission,EMB,1,1,"csv,db",
Denmark,Central Election Commission,EMB,1,1,"csv,db",
Denmark,Ministry of Social Welfare,Other,1,1,"csv,db",
Denmark,Ministry of Foreign Affairs,Other,1,1,csv,
Denmark,Ministry of Justice,Other,1,1,csv,
Denmark,OSCE PA,Other,1,1,db,
Djibouti,Inter-Governmental Authority on Development (IGAD),Other,1,1,"csv,db",
Dominican Republic,Junta Central Electoral,Other,3,3,db,
Dominican Republic,Ministry of Foreign Affairs,Other,1,1,csv,
Dominican Republic,JUNTA ENTRAL ELECTORAL (JCE),Other,1,1,db,
Egypt,International Foundation for Electoral Systems,Other,2,2,csv,
Egypt,Egyptian Supreme Elections Commission / Ministry of Justice,Other,1,1,csv,
Egypt,Dedi - Election Projects and Election Polls,Other,1,1,csv,
Egypt,Embassy of Egypt-Romania,Other,1,1,csv,
Egypt,Ministry of Transitional Justice and the House of Deputies Supreme Committe for Legislative Reform,Other,1,1,csv,
Egypt,Ministry of Transitional Justice,Other,1,1,csv,
Egypt,National Election Authority,EMB,1,1,csv,
Egypt,High Elections Committee (HEC),Other,1,1,csv,
Egypt,High Elections Committee,Other,1,1,csv,
Egypt,Election Commission,EMB,1,1,db,
Eritrea,Institute for Education in Democracy,Other,1,1,db,
Estonia,Electoral Service,Other,5,5,db,
Estonia,Chancellery of the Riigikogu,Other,1,1,"csv,db",
Estonia,Ministry of Foreign Affairs,Other,1,1,"csv,db",
Estonia,Ministry of the Interior,Other,1,1,"csv,db",
Estonia,Estonia National Electoral Committee,Other,1,1,"csv,db",
Estonia,State Election Commission,EMB,1,1,"csv,db",
Estonia,Estonian Nationa Electoral Committee,Other,1,1,db,
Eswatini,Election Commission,EMB,1,1,db,
Eswatini,SUTFU Foundation,Other,1,1,db,
Ethiopia,National Election Board of Ethiopia - NEBE,EMB,14,14,"csv,db",National Election Board | National Electoral Board | National Electoral Board of Ethiopia | National Election Board of Ethiopia
Ethiopia,The African Union Commission,Other,4,4,csv,African Union Commission
